date,ipca,months,years,median,mean
08/2008,0.28,8,2008,0.44,0.49465306122448977
09/2008,0.26,9,2008,0.44,0.49465306122448977
10/2008,0.45,10,2008,0.44,0.49465306122448977
11/2008,0.36,11,2008,0.44,0.49465306122448977
12/2008,0.28,12,2008,0.44,0.49465306122448977
01/2009,0.48,1,2009,0.44,0.49465306122448977
02/2009,0.55,2,2009,0.44,0.49465306122448977
03/2009,0.2,3,2009,0.44,0.49465306122448977
04/2009,0.48,4,2009,0.44,0.49465306122448977
05/2009,0.47,5,2009,0.44,0.49465306122448977
06/2009,0.36,6,2009,0.44,0.49465306122448977
07/2009,0.24,7,2009,0.44,0.49465306122448977
08/2009,0.15,8,2009,0.44,0.49465306122448977
09/2009,0.24,9,2009,0.44,0.49465306122448977
10/2009,0.28,10,2009,0.44,0.49465306122448977
11/2009,0.41,11,2009,0.44,0.49465306122448977
12/2009,0.37,12,2009,0.44,0.49465306122448977
01/2010,0.75,1,2010,0.44,0.49465306122448977
02/2010,0.78,2,2010,0.44,0.49465306122448977
03/2010,0.52,3,2010,0.44,0.49465306122448977
04/2010,0.57,4,2010,0.44,0.49465306122448977
05/2010,0.43,5,2010,0.44,0.49465306122448977
06/2010,0.0,6,2010,0.44,0.49465306122448977
07/2010,0.01,7,2010,0.44,0.49465306122448977
08/2010,0.04,8,2010,0.44,0.49465306122448977
09/2010,0.45,9,2010,0.44,0.49465306122448977
10/2010,0.75,10,2010,0.44,0.49465306122448977
11/2010,0.83,11,2010,0.44,0.49465306122448977
12/2010,0.63,12,2010,0.44,0.49465306122448977
01/2011,0.83,1,2011,0.44,0.49465306122448977
02/2011,0.8,2,2011,0.44,0.49465306122448977
03/2011,0.79,3,2011,0.44,0.49465306122448977
04/2011,0.77,4,2011,0.44,0.49465306122448977
05/2011,0.47,5,2011,0.44,0.49465306122448977
06/2011,0.15,6,2011,0.44,0.49465306122448977
07/2011,0.16,7,2011,0.44,0.49465306122448977
08/2011,0.37,8,2011,0.44,0.49465306122448977
09/2011,0.53,9,2011,0.44,0.49465306122448977
10/2011,0.43,10,2011,0.44,0.49465306122448977
11/2011,0.52,11,2011,0.44,0.49465306122448977
12/2011,0.5,12,2011,0.44,0.49465306122448977
01/2012,0.56,1,2012,0.44,0.49465306122448977
02/2012,0.45,2,2012,0.44,0.49465306122448977
03/2012,0.21,3,2012,0.44,0.49465306122448977
04/2012,0.64,4,2012,0.44,0.49465306122448977
05/2012,0.36,5,2012,0.44,0.49465306122448977
06/2012,0.08,6,2012,0.44,0.49465306122448977
07/2012,0.43,7,2012,0.44,0.49465306122448977
08/2012,0.41,8,2012,0.44,0.49465306122448977
09/2012,0.57,9,2012,0.44,0.49465306122448977
10/2012,0.59,10,2012,0.44,0.49465306122448977
11/2012,0.6,11,2012,0.44,0.49465306122448977
12/2012,0.79,12,2012,0.44,0.49465306122448977
01/2013,0.86,1,2013,0.44,0.49465306122448977
02/2013,0.6,2,2013,0.44,0.49465306122448977
03/2013,0.47,3,2013,0.44,0.49465306122448977
04/2013,0.55,4,2013,0.44,0.49465306122448977
05/2013,0.37,5,2013,0.44,0.49465306122448977
06/2013,0.26,6,2013,0.44,0.49465306122448977
07/2013,0.03,7,2013,0.44,0.49465306122448977
08/2013,0.24,8,2013,0.44,0.49465306122448977
09/2013,0.35,9,2013,0.44,0.49465306122448977
10/2013,0.57,10,2013,0.44,0.49465306122448977
11/2013,0.54,11,2013,0.44,0.49465306122448977
12/2013,0.92,12,2013,0.44,0.49465306122448977
01/2014,0.55,1,2014,0.44,0.49465306122448977
02/2014,0.69,2,2014,0.44,0.49465306122448977
03/2014,0.92,3,2014,0.44,0.49465306122448977
04/2014,0.67,4,2014,0.44,0.49465306122448977
05/2014,0.46,5,2014,0.44,0.49465306122448977
06/2014,0.4,6,2014,0.44,0.49465306122448977
07/2014,0.01,7,2014,0.44,0.49465306122448977
08/2014,0.25,8,2014,0.44,0.49465306122448977
09/2014,0.57,9,2014,0.44,0.49465306122448977
10/2014,0.42,10,2014,0.44,0.49465306122448977
11/2014,0.51,11,2014,0.44,0.49465306122448977
12/2014,0.78,12,2014,0.44,0.49465306122448977
01/2015,1.24,1,2015,0.44,0.49465306122448977
02/2015,1.22,2,2015,0.44,0.49465306122448977
03/2015,1.32,3,2015,0.44,0.49465306122448977
04/2015,0.71,4,2015,0.44,0.49465306122448977
05/2015,0.74,5,2015,0.44,0.49465306122448977
06/2015,0.79,6,2015,0.44,0.49465306122448977
07/2015,0.62,7,2015,0.44,0.49465306122448977
08/2015,0.22,8,2015,0.44,0.49465306122448977
09/2015,0.54,9,2015,0.44,0.49465306122448977
10/2015,0.82,10,2015,0.44,0.49465306122448977
11/2015,1.01,11,2015,0.44,0.49465306122448977
12/2015,0.96,12,2015,0.44,0.49465306122448977
01/2016,1.27,1,2016,0.44,0.49465306122448977
02/2016,0.9,2,2016,0.44,0.49465306122448977
03/2016,0.43,3,2016,0.44,0.49465306122448977
04/2016,0.61,4,2016,0.44,0.49465306122448977
05/2016,0.78,5,2016,0.44,0.49465306122448977
06/2016,0.35,6,2016,0.44,0.49465306122448977
07/2016,0.52,7,2016,0.44,0.49465306122448977
08/2016,0.44,8,2016,0.44,0.49465306122448977
09/2016,0.08,9,2016,0.44,0.49465306122448977
10/2016,0.26,10,2016,0.44,0.49465306122448977
11/2016,0.18,11,2016,0.44,0.49465306122448977
12/2016,0.3,12,2016,0.44,0.49465306122448977
01/2017,0.38,1,2017,0.44,0.49465306122448977
02/2017,0.33,2,2017,0.44,0.49465306122448977
03/2017,0.25,3,2017,0.44,0.49465306122448977
04/2017,0.14,4,2017,0.44,0.49465306122448977
05/2017,0.31,5,2017,0.44,0.49465306122448977
06/2017,-0.23,6,2017,0.44,0.49465306122448977
07/2017,0.24,7,2017,0.44,0.49465306122448977
08/2017,0.19,8,2017,0.44,0.49465306122448977
09/2017,0.16,9,2017,0.44,0.49465306122448977
10/2017,0.42,10,2017,0.44,0.49465306122448977
11/2017,0.28,11,2017,0.44,0.49465306122448977
12/2017,0.44,12,2017,0.44,0.49465306122448977
01/2018,0.29,1,2018,0.44,0.49465306122448977
02/2018,0.32,2,2018,0.44,0.49465306122448977
03/2018,0.09,3,2018,0.44,0.49465306122448977
04/2018,0.22,4,2018,0.44,0.49465306122448977
05/2018,0.4,5,2018,0.44,0.49465306122448977
06/2018,1.26,6,2018,0.44,0.49465306122448977
07/2018,0.33,7,2018,0.44,0.49465306122448977
08/2018,-0.09,8,2018,0.44,0.49465306122448977
09/2018,0.48,9,2018,0.44,0.49465306122448977
10/2018,0.45,10,2018,0.44,0.49465306122448977
11/2018,-0.21,11,2018,0.44,0.49465306122448977
12/2018,0.15,12,2018,0.44,0.49465306122448977
01/2019,0.32,1,2019,0.44,0.49465306122448977
02/2019,0.43,2,2019,0.44,0.49465306122448977
03/2019,0.75,3,2019,0.44,0.49465306122448977
04/2019,0.57,4,2019,0.44,0.49465306122448977
05/2019,0.13,5,2019,0.44,0.49465306122448977
06/2019,0.01,6,2019,0.44,0.49465306122448977
07/2019,0.19,7,2019,0.44,0.49465306122448977
08/2019,0.11,8,2019,0.44,0.49465306122448977
09/2019,-0.04,9,2019,0.44,0.49465306122448977
10/2019,0.1,10,2019,0.44,0.49465306122448977
11/2019,0.51,11,2019,0.44,0.49465306122448977
12/2019,1.15,12,2019,0.44,0.49465306122448977
01/2020,0.21,1,2020,0.44,0.49465306122448977
02/2020,0.25,2,2020,0.44,0.49465306122448977
03/2020,0.07,3,2020,0.44,0.49465306122448977
04/2020,-0.31,4,2020,0.44,0.49465306122448977
05/2020,-0.38,5,2020,0.44,0.49465306122448977
