,url,address,title,area,rooms,bathrooms,garages,price,date
24,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-124m2-venda-RS950000-id-2494776082/?__vt=lnv:c,"Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 124m²",124,3,3,2,950000,2020-11-14 
25,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-76m2-venda-RS320000-id-2499778401/?__vt=lnv:c,"Rua Professor João José Cabral, 207 - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 76m²",76,2,1,1,320000,2020-11-14 
26,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-108m2-venda-RS395000-id-2495963073/?__vt=lnv:c,"Rua da Concórdia, 109 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 108m²",108,3,2,1,395000,2020-11-14 
27,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-119m2-venda-RS865000-id-2497945492/?__vt=lnv:c,"Rua São Pedro, 425 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 119m²",119,3,3,2,865000,2020-11-14 
28,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-75m2-venda-RS375000-id-2491826589/?__vt=lnv:c,"Avenida Santa Catarina - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 75m²",75,2,2,1,375000,2020-11-14 
29,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-78m2-venda-RS447000-id-2501201480/?__vt=lnv:c,"Rua da Concórdia - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 78m²",78,3,2,1,447000,2020-11-14 
30,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-74m2-venda-RS629505-id-2471121173/?__vt=lnv:c,"Avenida Santa Catarina, 1197 - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 74m²",74,2,2,1,629505,2020-11-14 
31,vivareal.com/imovel/apartamento-4-quartos-balneario-bairros-florianopolis-com-garagem-105m2-venda-RS425000-id-2484520899/?__vt=lnv:c,"Balneário, Florianópolis - SC","Apartamento com 4 Quartos à Venda, 105m²",105,4,3,2,425000,2020-11-14 
32,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-108m2-venda-RS395000-id-2496326560/?__vt=lnv:c,"Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 108m²",108,3,1,1,395000,2020-11-14 
33,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-89m2-venda-RS860000-id-2500745973/?__vt=lnv:c,"Rua São José, 203 - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 89m²",89,2,3,1,860000,2020-11-14 
34,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-123m2-venda-RS640000-id-2462276778/?__vt=lnv:c,"Rua Professor João José Cabral, 402 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 123m²",123,3,3,2,640000,2020-11-14 
35,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-65m2-venda-RS475000-id-2501299190/?__vt=lnv:c,"Rua Coronel Pedro Demoro - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 65m²",65,2,2,1,475000,2020-11-14 
36,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-123m2-venda-RS640000-id-2462276778/?__vt=lnv:c,"Rua Professor João José Cabral, 402 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 123m²
",123,3,3,2,640000,2020-11-14 
38,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-65m2-venda-RS475000-id-2501299190/?__vt=lnv:c,"Rua Coronel Pedro Demoro - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 65m²
",65,2,2,1,475000,2020-11-14 
39,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-100m2-venda-RS820000-id-2490767145/?__vt=lnv:c,"Rua Sérgio Gil, 263 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 100m²
",100,3,2,2,820000,2020-11-14 
40,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-165m2-venda-RS803347-id-2485832949/?__vt=lnv:c,"Praça Guilherme Fortkamp, 263 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 165m²
",165,3,2,1,803347,2020-11-14 
41,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-75m2-venda-RS259000-id-2487693184/?__vt=lnv:c,"Rua Osvaldo Cruz - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 75m²
",75,2,1,1,259000,2020-11-14 
42,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-78m2-venda-RS660000-id-2467745307/?__vt=lnv:c,"Rua Sérgio Gil, 263 - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 78m²
",78,2,2,1,660000,2020-11-14 
43,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-91m2-venda-RS652000-id-2491940323/?__vt=lnv:c,"Rua São José - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 91m²
",91,2,3,2,652000,2020-11-14 
45,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-116m2-venda-RS800000-id-2473752385/?__vt=lnv:c,"Rua Sérgio Gil, 191 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 116m²
",116,3,3,2,800000,2020-11-14 
46,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-100m2-venda-RS640000-id-2443490308/?__vt=lnv:c,"Rua José Cândido da Silva, 382 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 100m²
",100,3,2,2,640000,2020-11-14 
47,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-125m2-venda-RS1740000-id-2489895574/?__vt=lnv:c,"Rua Marechal Hermes, 154 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 125m²
",125,3,4,3,1740000,2020-11-14 
48,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-103m2-venda-RS943000-id-2486881407/?__vt=lnv:c,"Rua Antônio Gomes - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 103m²
",103,3,1,2,943000,2020-11-14 
49,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-78m2-venda-RS664990-id-2491275389/?__vt=lnv:c,"Rua Sérgio Gil, 263 - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 78m²
",78,2,2,1,664990,2020-11-14 
50,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-122m2-venda-RS900000-id-2500859195/?__vt=lnv:c,"Rua Professor João José Cabral, 235 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 122m²
",122,3,3,2,900000,2020-11-14 
52,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-92m2-venda-RS420000-id-2487103105/?__vt=lnv:c,"Avenida Santa Catarina, 1556 - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 92m²
",92,2,2,1,420000,2020-11-14 
53,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-110m2-venda-RS578000-id-2496460387/?__vt=lnv:c,"Avenida Santa Catarina - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 110m²
",110,3,2,2,578000,2020-11-14 
54,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-103m2-venda-RS950000-id-2496168478/?__vt=lnv:c,"Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 103m²
",103,3,2,2,950000,2020-11-14 
