,url,address,title,area,rooms,bathrooms,garages,price,date
106,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-90m2-venda-RS925457-id-2485835981/?__vt=lnv:c,"Praça Guilherme Fortkamp, 263 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 90m²
",90,3,2,2,925457,2020-11-14 
107,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-92m2-venda-RS879980-id-1038588332/?__vt=lnv:c,"Rua Sérgio Gil, 263 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 92m²
",92,3,1,2,879980,2020-11-14 
108,vivareal.com/imovel/apartamento-4-quartos-balneario-bairros-florianopolis-com-garagem-130m2-venda-RS750000-id-2495860733/?__vt=lnv:c,"Rua Antônio Gomes, 58 - Balneário, Florianópolis - SC","Apartamento com 4 Quartos à Venda, 130m²
",130,4,4,2,750000,2020-11-14 
110,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-146m2-venda-RS595000-id-2498834174/?__vt=lnv:c,"Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 146m²
",146,3,3,1,595000,2020-11-14 
111,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-149m2-venda-RS800000-id-2497633901/?__vt=lnv:c,"Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 149m²
",149,3,4,2,800000,2020-11-14 
112,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-115m2-venda-RS800000-id-2488387295/?__vt=lnv:c,"Rua Sérgio Gil, 80 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 115m²
",115,3,3,2,800000,2020-11-14 
113,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-65m2-venda-RS475000-id-2499124516/?__vt=lnv:c,"Rua Coronel Pedro Demoro - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 65m²
",65,2,2,1,475000,2020-11-14 
114,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-125m2-venda-RS1000000-id-2477612403/?__vt=lnv:c,"Rua Sérgio Gil - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 125m²
",125,3,3,2,1000000,2020-11-14 
115,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-89m2-venda-RS360000-id-2468388585/?__vt=lnv:c,"Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 89m²
",89,3,2,2,360000,2020-11-14 
117,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-92m2-venda-RS690000-id-2493361389/?__vt=lnv:c,"Avenida Santa Catarina, 1660 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 92m²
",92,3,2,1,690000,2020-11-14 
118,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-92m2-venda-RS807700-id-2493619394/?__vt=lnv:c,"Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 92m²
",92,3,2,1,807700,2020-11-14 
119,vivareal.com/imovel/apartamento-4-quartos-balneario-bairros-florianopolis-com-garagem-105m2-venda-RS424000-id-2494238974/?__vt=lnv:c,"Balneário, Florianópolis - SC","Apartamento com 4 Quartos à Venda, 105m²
",105,4,1,1,424000,2020-11-14 
120,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-117m2-venda-RS949990-id-2473750331/?__vt=lnv:c,"Rua Sérgio Gil, 191 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 117m²
",117,3,4,2,949990,2020-11-14 
121,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-94m2-venda-RS974880-id-2460527792/?__vt=lnv:c,"Praça Guilherme Fortkamp, 263 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 94m²
",94,3,2,2,974880,2020-11-14 
122,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-74m2-venda-RS621000-id-2494096186/?__vt=lnv:c,"Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 74m²
",74,2,2,1,621000,2020-11-14 
124,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-90m2-venda-RS690000-id-2500047086/?__vt=lnv:c,"Rua José Cândido da Silva, 385 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 90m²
",90,3,2,2,690000,2020-11-14 
125,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-92m2-venda-RS824209-id-2456239577/?__vt=lnv:c,"Praça Guilherme Fortkamp, 263 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 92m²
",92,3,2,1,824209,2020-11-14 
126,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-92m2-venda-RS807620-id-2456238371/?__vt=lnv:c,"Praça Guilherme Fortkamp, 263 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 92m²
",92,3,2,1,807620,2020-11-14 
127,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-65m2-venda-RS475000-id-2498531006/?__vt=lnv:c,"Rua Coronel Pedro Demoro, 1507 - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 65m²
",65,2,2,1,475000,2020-11-14 
128,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-76m2-venda-RS592000-id-2468287509/?__vt=lnv:c,"Rua Coronel Pedro Demoro, 1571 - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 76m²
",76,2,3,1,592000,2020-11-14 
129,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-94m2-venda-RS880000-id-2501460580/?__vt=lnv:c,"Rua Sérgio Gil, 263 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 94m²
",94,3,2,2,880000,2020-11-14 
131,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-91m2-venda-RS855600-id-2458234727/?__vt=lnv:c,"Praça Guilherme Fortkamp, 263 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 91m²
",91,3,2,1,855600,2020-11-14 
132,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-119m2-venda-RS800000-id-2488261738/?__vt=lnv:c,"Rua Sérgio Gil - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 119m²
",119,3,3,2,800000,2020-11-14 
133,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-339m2-venda-RS540000-id-2490998478/?__vt=lnv:c,"Rua Coronel Pedro Demoro - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 339m²
",339,3,2,1,540000,2020-11-14 
134,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-92m2-venda-RS752005-id-2485350352/?__vt=lnv:c,"Rua Professor João José Cabral - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 92m²
",92,3,1,1,752005,2020-11-14 
135,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-92m2-venda-RS854522-id-2456237468/?__vt=lnv:c,"Praça Guilherme Fortkamp, 263 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 92m²
",92,3,2,2,854522,2020-11-14 
136,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-94m2-venda-RS903584-id-2456237467/?__vt=lnv:c,"Praça Guilherme Fortkamp, 263 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 94m²
",94,3,2,2,903584,2020-11-14 
138,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-92m2-venda-RS807600-id-2474122393/?__vt=lnv:c,"Rua Sérgio Gil, 263 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 92m²
",92,3,2,1,807600,2020-11-14 
139,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-91m2-venda-RS658000-id-2492387534/?__vt=lnv:c,"Rua São José, 203 - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 91m²
",91,2,2,2,658000,2020-11-14 
140,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-138m2-venda-RS659000-id-2501023457/?__vt=lnv:c,"Rua Castro Alves - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 138m²
",138,3,4,1,659000,2020-11-14 
141,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-94m2-venda-RS903635-id-2485350856/?__vt=lnv:c,"Rua Professor João José Cabral - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 94m²
",94,3,1,2,903635,2020-11-14 
142,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-94m2-venda-RS928649-id-2485350351/?__vt=lnv:c,"Rua Professor João José Cabral - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 94m²
",94,3,1,2,928649,2020-11-14 
143,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-118m2-venda-RS900000-id-2475570130/?__vt=lnv:c,"Rua Sérgio Gil, 50 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 118m²
",118,3,4,2,900000,2020-11-14 
144,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-86m2-venda-RS318000-id-2466212123/?__vt=lnv:c,"Rua Sérgio Gil, 174 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 86m²
",86,3,1,1,318000,2020-11-14 
146,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-116m2-venda-RS470000-id-2470125036/?__vt=lnv:c,"Rua Professor João José Cabral - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 116m²
",116,3,3,2,470000,2020-11-14 
147,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-116m2-venda-RS735000-id-2491811480/?__vt=lnv:c,"Rua São Pedro - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 116m²
",116,3,3,1,735000,2020-11-14 
148,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-70m2-venda-RS330000-id-2491308157/?__vt=lnv:c,"Rua Coronel Pedro Demoro, 1875 - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 70m²
",70,2,1,1,330000,2020-11-14 
149,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-93m2-venda-RS950000-id-2499949674/?__vt=lnv:c,"Rua Sérgio Gil - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 93m²
",93,3,2,2,950000,2020-11-14 
150,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-89m2-venda-RS860000-id-2468215099/?__vt=lnv:c,"Rua São José, 203 - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 89m²
",89,2,2,1,860000,2020-11-14 
151,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-88m2-venda-RS590000-id-2496738625/?__vt=lnv:c,"Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 88m²
",88,3,3,2,590000,2020-11-14 
153,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-77m2-venda-RS638000-id-2474123984/?__vt=lnv:c,"Rua Coronel Pedro Demoro, 1507 - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 77m²
",77,2,2,1,638000,2020-11-14 
154,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-115m2-venda-RS980000-id-2502102597/?__vt=lnv:c,"Rua Professor João José Cabral - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 115m²
",115,3,3,2,980000,2020-11-14 
155,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-80m2-venda-RS381000-id-2502267975/?__vt=lnv:c,"Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 80m²
",80,2,1,1,381000,2020-11-14 
156,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-115m2-venda-RS800000-id-2486417687/?__vt=lnv:c,"Rua Sérgio Gil - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 115m²
",115,3,3,2,800000,2020-11-14 
157,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-69m2-venda-RS530000-id-2475434497/?__vt=lnv:c,"Rua Vereador Batista Pereira, 641 - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 69m²
",69,2,2,2,530000,2020-11-14 
158,vivareal.com/imovel/apartamento-4-quartos-balneario-bairros-florianopolis-com-garagem-120m2-venda-RS690000-id-2493038671/?__vt=lnv:c,"Balneário, Florianópolis - SC","Apartamento com 4 Quartos à Venda, 120m²
",120,4,3,2,690000,2020-11-14 
160,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-119m2-venda-RS400000-id-2493168548/?__vt=lnv:c,"Rua Santa Tereza, 228 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 119m²
",119,3,3,1,400000,2020-11-14 
161,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-91m2-venda-RS670000-id-2490998113/?__vt=lnv:c,"Rua São José - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 91m²
",91,2,3,2,670000,2020-11-14 
162,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-114m2-venda-RS890000-id-2483772396/?__vt=lnv:c,"Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 114m²
",114,3,3,2,890000,2020-11-14 
163,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-249m2-venda-RS1500000-id-2502329494/?__vt=lnv:c,"Rua Antônio Gomes, 058 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 249m²
",249,3,2,1,1500000,2020-11-14 
164,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-100m2-venda-RS780000-id-2494944810/?__vt=lnv:c,"Rua Sérgio Gil, 263 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 100m²
",100,3,2,2,780000,2020-11-14 
165,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-188m2-venda-RS2850000-id-2486417310/?__vt=lnv:c,"Rua dos Navegantes - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 188m²
",188,3,3,4,2850000,2020-11-14 
167,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-120m2-venda-RS690000-id-2475433994/?__vt=lnv:c,"Rua São Pedro, 422 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 120m²
",120,3,3,2,690000,2020-11-14 
168,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-93m2-venda-RS420000-id-2485996667/?__vt=lnv:c,"Avenida Santa Catarina, 1556 - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 93m²
",93,2,2,1,420000,2020-11-14 
169,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-129m2-venda-RS660000-id-2498834077/?__vt=lnv:c,"Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 129m²
",129,3,4,2,660000,2020-11-14 
170,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-91m2-venda-RS670000-id-2480380112/?__vt=lnv:c,"Rua São José - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 91m²
",91,2,2,1,670000,2020-11-14 
171,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-91m2-venda-RS855651-id-2495963148/?__vt=lnv:c,"Rua Sérgio Gil - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 91m²
",91,3,3,1,855651,2020-11-14 
172,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-114m2-venda-RS830000-id-2480381677/?__vt=lnv:c,"Rua São José - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 114m²
",114,3,3,1,830000,2020-11-14 
174,vivareal.com/imovel/apartamento-1-quartos-balneario-bairros-florianopolis-com-garagem-47m2-venda-RS360000-id-2493354288/?__vt=lnv:c,"Rua Coronel Pedro Demoro - Balneário, Florianópolis - SC","Apartamento com  Quarto à Venda, 47m²
",47,1,1,1,360000,2020-11-14 
175,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-90m2-venda-RS430000-id-95069448/?__vt=lnv:c,"Rua da Concórdia, 76 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 90m²
",90,3,2,1,430000,2020-11-14 
176,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-98m2-venda-RS360000-id-2441048773/?__vt=lnv:c,"Rua São José - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 98m²
",98,3,2,2,360000,2020-11-14 
177,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-104m2-venda-RS799623-id-2495966308/?__vt=lnv:c,"Rua Sérgio Gil - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 104m²
",104,3,2,1,799623,2020-11-14 
178,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-89m2-venda-RS449900-id-2485064877/?__vt=lnv:c,"Rua São Pedro, 195 - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 89m²
",89,2,2,2,449900,2020-11-14 
179,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-116m2-venda-RS800000-id-2493867759/?__vt=lnv:c,"Rua Sérgio Gil - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 116m²
",116,3,3,2,800000,2020-11-14 
180,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-126m2-venda-RS1394000-id-2474121196/?__vt=lnv:c,"Rua Coronel Pedro Demoro, 1507 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 126m²
",126,3,3,2,1394000,2020-11-14 
182,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-77m2-venda-RS395000-id-2455510205/?__vt=lnv:c,"Rua Sérgio Gil, 204 - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 77m²
",77,2,2,1,395000,2020-11-14 
183,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-92m2-venda-RS450000-id-2488974490/?__vt=lnv:c,"Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 92m²
",92,3,2,1,450000,2020-11-14 
184,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-113m2-venda-RS965000-id-2501023918/?__vt=lnv:c,"Rua Professor João José Cabral - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 113m²
",113,3,3,2,965000,2020-11-14 
185,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-103m2-venda-RS950000-id-2453433204/?__vt=lnv:c,"Rua Antônio Gomes - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 103m²
",103,3,2,2,950000,2020-11-14 
186,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-98m2-venda-RS689900-id-2499921095/?__vt=lnv:c,"Rua José Cândido da Silva - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 98m²
",98,3,3,2,689900,2020-11-14 
187,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-120m2-venda-RS690000-id-2451199905/?__vt=lnv:c,"Rua São Pedro, 422 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 120m²
",120,3,3,2,690000,2020-11-14 
189,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-88m2-venda-RS690000-id-2471634781/?__vt=lnv:c,"Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 88m²
",88,3,2,2,690000,2020-11-14 
190,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-138m2-venda-RS490000-id-2431584980/?__vt=lnv:c,"Rua Castro Alves, 982 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 138m²
",138,3,4,1,490000,2020-11-14 
191,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-91m2-venda-RS655000-id-2486416084/?__vt=lnv:c,"Rua São José - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 91m²
",91,2,3,2,655000,2020-11-14 
192,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-90m2-venda-RS690000-id-2487503588/?__vt=lnv:c,"Rua José Cândido da Silva, 385 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos para Venda/Aluguel 90m²
",90,3,2,2,690000,2020-11-14 
193,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-99m2-venda-RS930862-id-2495963147/?__vt=lnv:c,"Rua Sérgio Gil - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 99m²
",99,3,3,2,930862,2020-11-14 
194,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-89m2-venda-RS860000-id-2476294603/?__vt=lnv:c,"Rua São José - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 89m²
",89,2,3,1,860000,2020-11-14 
195,vivareal.com/imoveis-lancamento/flores-do-mediterraneo-2467211843/?__vt=lnv:c,"Rodovia BR-101 - Balneário, São José - SC","Flores do Mediterrâneo
",40,2,1,--,152900,2020-11-14 
196,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-90m2-venda-RS690000-id-2487502813/?__vt=lnv:c,"Rua José Cândido da Silva, 385 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 90m²
",90,3,2,2,690000,2020-11-14 
197,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-110m2-venda-RS530000-id-2482987591/?__vt=lnv:c,"Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 110m²
",110,3,2,1,530000,2020-11-14 
198,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-78m2-venda-RS666000-id-2471218089/?__vt=lnv:c,"Rua Sérgio Gil, 263 - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 78m²
",78,2,2,1,666000,2020-11-14 
199,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-79m2-venda-RS666000-id-2494093020/?__vt=lnv:c,"Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 79m²
",79,2,2,1,666000,2020-11-14 
200,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-78m2-venda-RS660000-id-2485104878/?__vt=lnv:c,"Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 78m²
",78,2,2,1,660000,2020-11-14 
201,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-109m2-venda-RS700000-id-2448722669/?__vt=lnv:c,"Rua São Pedro, 397 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 109m²
",109,3,3,1,700000,2020-11-14 
203,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-83m2-venda-RS685043-id-2485350489/?__vt=lnv:c,"Rua da Concórdia, 76 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 83m²
",83,3,1,2,685043,2020-11-14 
204,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-91m2-venda-RS670000-id-2456587174/?__vt=lnv:c,"Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 91m²
",91,2,2,--,670000,2020-11-14 
205,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-119m2-venda-RS865000-id-2492196587/?__vt=lnv:c,"Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 119m²
",119,3,3,2,865000,2020-11-14 
206,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-92m2-venda-RS450000-id-2491231949/?__vt=lnv:c,"Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 92m²
",92,3,1,1,450000,2020-11-14 
207,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-123m2-venda-RS630000-id-2497872916/?__vt=lnv:c,"Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 123m²
",123,3,3,2,630000,2020-11-14 
208,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-138m2-venda-RS950000-id-2499807296/?__vt=lnv:c,"Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 138m²
",138,3,4,2,950000,2020-11-14 
210,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-92m2-venda-RS807671-id-2485351895/?__vt=lnv:c,"Rua Professor João José Cabral - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 92m²
",92,3,1,1,807671,2020-11-14 
211,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-91m2-venda-RS670000-id-2495938159/?__vt=lnv:c,"Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 91m²
",91,2,2,2,670000,2020-11-14 
212,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-206m2-venda-RS900000-id-2500121332/?__vt=lnv:c,"Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 206m²
",206,3,1,2,900000,2020-11-14 
213,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-91m2-venda-RS670000-id-2430837223/?__vt=lnv:c,"Rua São José, 170 - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 91m²
",91,2,3,2,670000,2020-11-14 
214,vivareal.com/imovel/apartamento-3-quartos-balneario-bairros-florianopolis-com-garagem-137m2-venda-RS549000-id-2486597647/?__vt=lnv:c,"Rua Castro Alves, 982 - Balneário, Florianópolis - SC","Apartamento com 3 Quartos à Venda, 137m²
",137,3,3,1,549000,2020-11-14 
215,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-89m2-venda-RS860000-id-2474306389/?__vt=lnv:c,"Rua São José, 203 - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 89m²
",89,2,3,1,860000,2020-11-14 
216,vivareal.com/imovel/apartamento-2-quartos-balneario-bairros-florianopolis-com-garagem-62m2-venda-RS550000-id-2487502231/?__vt=lnv:c,"Rua José Cândido da Silva, 385 - Balneário, Florianópolis - SC","Apartamento com 2 Quartos à Venda, 62m²
",62,2,2,2,550000,2020-11-14 
